brand,@lat,@lon
Дикси,59.9122946,30.2978337
Пятерочка,60.0149715,30.3159563
,59.9116802,30.3069503
Дикси,59.9116682,30.3060028
Магнит,59.8723462,30.3799941
Дикси,59.9140139,30.3236342
Магнит,59.8514735,30.2718240
Пятерочка,59.9157286,30.2978387
Семишагофф,59.9157327,30.3047956
Пятерочка,59.9249362,30.4952649
Дикси,59.7416090,30.4174578
Пятерочка,59.9184085,30.4960431
Дикси,59.9936922,30.3151646
,59.8383982,30.2522433
Пятерочка,59.9187965,30.4823770
Дикси,59.9140070,30.2946866
Магнит,60.0323067,30.4014226
Auchan,59.9001639,30.4007060
Магнит,60.0167012,30.3366482
Дикси,60.0164478,30.3370389
Дикси,59.8407010,30.2428519
,59.8695324,29.8543318
Пятерочка,59.8551500,30.2408581
Магнит,59.7860298,30.1117992
Пятерочка,60.0000950,30.2479798
Пятерочка,59.9131950,30.2772759
Дикси,59.9216560,30.2865236
Семишагофф,59.8365457,30.2456021
Пятерочка,59.8420711,30.4897164
Пятерочка,59.8371577,30.5112775
,59.7503749,30.5670817
,59.8420340,30.1308648
Пятерочка,59.8786646,30.4605590
Пятерочка,59.8968584,30.4213837
Пятерочка,60.0224258,30.2398232
Пятерочка,59.8642638,30.3993911
,59.6858387,30.4322298
Дикси,59.6857850,30.4238157
Пятерочка,60.0370977,30.3311178
Пятерочка,60.0470886,30.3517895
Дикси,59.9380027,30.2773938
Дикси,59.8761820,30.3267074
Дикси,59.9713915,30.4234727
,59.8416571,30.1585200
Пятерочка,59.8642899,30.3727861
Prisma,60.0091652,30.3263007
Пятерочка,59.9592456,30.4904647
,59.8551429,30.3001927
Магнит,60.0376920,30.3252679
Дикси,59.8622308,30.3198147
Дикси,59.9235062,30.2915225
Пятерочка,59.9223189,30.2924764
Дикси,59.8523753,30.2514239
Пятерочка,59.8766777,30.3923010
,59.7384474,30.4089496
Семишагофф,59.9549289,30.4689533
Магнит,60.0068599,30.4241991
,59.9589596,30.4908426
Пятерочка,59.9312883,30.3480975
Семишагофф,59.9301276,30.3473586
,59.8600058,30.2486427
Пятерочка,60.1103370,30.2835393
Дикси,59.9320095,30.3165455
